Statistics
2.5
2.1
3.7
1.6
1.2
1.4
2.3
9.5
14.3
26.7
27.2
30.2
16.6
9.6
1.2
2.5
3.7
1.4
3.7
2.3
8.2
1.2
1.8
4.9
17.4
4.3
6.3
1.9
1.2
6.4
2.0
1.2
1.2
5.8
3.9
2.9
4.6
2.1
1.8
2.0
4.1
1.9
2.7
1.7
8.1
3.6
4.2
1.6
7.3
5.7
2.7
2.5
2.5
1.9
1.2
1.4
2.5
5.0
1.2
1.2
1.9
3.1
2.7
1.9
3.5
3.1
2.7
1.6
6.3
2.7
5.6
2.1
2.5
2.3
3.3
2.1
3.3
1.6
3.3
3.1
4.1
1.2
2.3
3.1
2.9
10.6
14.5
5.2
1.7
1.2
1.4
2.1
1.9
1.8
5.2
4.1
2.5
5.4
4.0
1.6
4.7
5.3
7.4
4.3
1.2
5.3
3.3
10.4
3.5
3.7
4.2
2.3
3.1
5.9
3.8
3.1
4.6
1.5
4.1
3.1
3.1
1.8
3.1
1.9
2.3
4.2
5.6
2.0
6.5
4.6
3.9
19.7
21.1
4.8
4.5
5.8
6.0
3.7
3.9
1.6
2.1
1.7
3.1
3.4
2.5
5.1
1.9
2.3
1.7
1.4
5.4
